week_end_date,SampleLocation,case_7d_avg
2022-02-20,AU_Warkworth,0
2022-02-20,AU_Western,94
2022-02-20,BP_Katikati,1
2022-02-20,BP_Rotorua,8
2022-02-20,BP_Tauranga,16
2022-02-20,BP_TeMaunga,10
2022-02-20,BP_TePuke,6
2022-02-20,BP_WaihiBeach,0
2022-02-20,CA_Amberley,1
2022-02-20,CA_Ashburton,5
2022-02-20,CA_Christchurch,34
2022-02-20,CA_Kaiapoi,1
2022-02-20,CA_Rangiora,0
2022-02-20,CA_Rolleston,2
2022-02-20,CA_Timaru,1
2022-02-20,CA_Woodend,0
2022-02-20,GI_Gisborne,8
2022-02-20,HB_Hastings,4
2022-02-20,HB_Napier,6
2022-02-20,HB_Wairoa,1
2022-02-20,MA_Blenheim,4
2022-02-20,MA_Picton,0
2022-02-20,MW_Levin,3
2022-02-20,MW_PalmerstonNorth,3
2022-02-20,MW_Taumarunui,0
2022-02-20,MW_Whanganui,1
2022-02-20,NE_BellIsland,8
2022-02-20,NE_Nelson,20
2022-02-20,NO_Dargaville,0
2022-02-20,NO_Kaitaia,0
2022-02-20,NO_Kawakawa,0
2022-02-20,NO_Kerikeri,6
2022-02-20,NO_Mangawhai,0
2022-02-20,NO_Paihia,1
2022-02-20,NO_Ruakaka,0
2022-02-20,NO_Whangarei,2
2022-02-20,OT_Alexandra,0
2022-02-20,OT_Cromwell,0
2022-02-20,OT_DunedinTahuna,19
2022-02-20,OT_GreenIsland,9
2022-02-20,OT_Mosgiel,9
2022-02-20,OT_Oamaru,1
2022-02-20,OT_Queenstown,24
2022-02-20,OT_Wanaka,0
2022-02-20,SO_Gore,0
2022-02-20,SO_Invercargill,3
2022-02-20,TK_Eltham,0
2022-02-20,TK_Hawera,0
2022-02-20,TK_NewPlymouth,4
2022-02-20,TS_Motueka,0
2022-02-20,WG_Carterton,0
2022-02-20,WG_Karori,1
2022-02-20,WG_Martinborough,1
2022-02-20,WG_Masterton,9
2022-02-20,WG_MoaPoint,19
2022-02-20,WG_Otaki,0
2022-02-20,WG_Paraparaumu,0
2022-02-20,WG_Porirua,13
2022-02-20,WG_Seaview,22
2022-02-20,WK_Cambridge,3
2022-02-20,WK_Hamilton,97
2022-02-20,WK_Ngatea,0
2022-02-20,WK_Otorohanga,0
2022-02-20,WK_Paeroa,1
2022-02-20,WK_Taupo,3
2022-02-20,WK_TeAwamutu,1
2022-02-20,WK_Tokoroa,2
2022-02-20,WK_Turangi,0
2022-02-20,WK_Whangamata,0
2022-02-20,WK_Whitianga,0
2022-02-27,AU_ArmyBay,27
2022-02-27,AU_Beachlands,10
2022-02-27,AU_ClarksBeach,2
2022-02-27,AU_Eastern,4352
2022-02-27,AU_Helensville,3
2022-02-27,AU_Omaha,1
2022-02-27,AU_Pukekohe,37
2022-02-27,AU_Rosedale,213
2022-02-27,AU_SnellsAlgies,2
2022-02-27,AU_SouthWestern,354
2022-02-27,AU_Waiuku,6
2022-02-27,AU_Warkworth,4
2022-02-27,AU_Wellsford,2
2022-02-27,AU_Western,689
2022-02-27,BP_Katikati,2
2022-02-27,BP_Kawerau,6
2022-02-27,BP_Maketu,2
2022-02-27,BP_Opotiki,1
2022-02-27,BP_Rotorua,110
2022-02-27,BP_Tauranga,232
2022-02-27,BP_TeMaunga,89
2022-02-27,BP_TePuke,22
2022-02-27,BP_WaihiBeach,0
2022-02-27,BP_Whakatane,10
2022-02-27,CA_Amberley,0
2022-02-27,CA_Ashburton,20
2022-02-27,CA_Christchurch,413
2022-02-27,CA_Kaiapoi,1
2022-02-27,CA_Kaikoura,0
2022-02-27,CA_Leeston,1
2022-02-27,CA_Rangiora,2
2022-02-27,CA_Rolleston,13
2022-02-27,CA_Timaru,6
2022-02-27,CA_Woodend,1
2022-02-27,GI_Gisborne,34
2022-02-27,HB_Hastings,34
2022-02-27,HB_Mahia,0
2022-02-27,HB_Napier,27
2022-02-27,HB_Waipawa,1
2022-02-27,HB_Waipukurau,1
2022-02-27,HB_Wairoa,1
2022-02-27,MA_Blenheim,8
2022-02-27,MA_Picton,1
2022-02-27,MW_Dannevirke,2
2022-02-27,MW_Feilding,4
2022-02-27,MW_Levin,35
2022-02-27,MW_Pahiatua,1
2022-02-27,MW_PalmerstonNorth,41
2022-02-27,MW_Taumarunui,2
2022-02-27,MW_Whanganui,10
2022-02-27,MW_Woodville,0
2022-02-27,NE_BellIsland,17
2022-02-27,NE_Nelson,71
2022-02-27,NO_Ahipara,0
2022-02-27,NO_Dargaville,12
2022-02-27,NO_Hikurangi,0
2022-02-27,NO_Kaeo,0
2022-02-27,NO_Kaikohe,1
2022-02-27,NO_Kaitaia,1
2022-02-27,NO_Kawakawa,1
2022-02-27,NO_Kerikeri,3
2022-02-27,NO_Mangawhai,1
2022-02-27,NO_Maungaturoto,0
2022-02-27,NO_Paihia,1
2022-02-27,NO_Ruakaka,2
2022-02-27,NO_Whangarei,70
2022-02-27,NO_Whatuwhiwhi,0
2022-02-27,OT_Alexandra,1
2022-02-27,OT_Balclutha,0
2022-02-27,OT_Cromwell,2
2022-02-27,OT_DunedinTahuna,290
2022-02-27,OT_GreenIsland,121
2022-02-27,OT_Mosgiel,121
