week_end_date,Region,copies_per_day_per_person,population_covered,n_sites
2022-03-13,Southland,29133830,60000,3
2022-03-13,Taranaki,35475001,116756,9
2022-03-13,Tasman,22393597,8300,1
2022-03-13,Waikato,15910335,212985,6
2022-03-13,Wellington,45815702,485579,11
2022-03-13,West Coast,558591,18900,4
2022-03-20,Auckland,4086876,1445380,14
2022-03-20,Bay of Plenty,50381203,225920,10
2022-03-20,Canterbury,12197818,497100,11
2022-03-20,Gisborne,32906396,37000,1
2022-03-20,Hawke's Bay,88911034,147856,9
2022-03-20,Manawatu-Whanganui,17120715,185822,8
2022-03-20,Marlborough,13226513,36000,2
2022-03-20,Nelson,13186061,86000,2
2022-03-20,Northland,5186786,100530,12
2022-03-20,Otago,13328418,193400,8
2022-03-20,Southland,14194649,60000,3
2022-03-20,Taranaki,18032493,116756,9
2022-03-20,Tasman,7716830,8300,1
2022-03-20,Waikato,16739295,253751,10
2022-03-20,Wellington,28579231,485579,11
2022-03-20,West Coast,2215885,18900,4
2022-03-27,Auckland,5792965,1445510,15
2022-03-27,Bay of Plenty,20498962,225920,10
2022-03-27,Canterbury,11097323,497100,11
2022-03-27,Gisborne,12622289,37000,1
2022-03-27,Hawke's Bay,18793828,147006,7
2022-03-27,Manawatu-Whanganui,12741156,185822,8
2022-03-27,Marlborough,22742598,31000,1
2022-03-27,Nelson,7807310,86000,2
2022-03-27,Northland,9528198,100530,12
2022-03-27,Otago,7429934,193400,8
2022-03-27,Southland,30806346,60000,3
2022-03-27,Taranaki,14068685,116756,9
2022-03-27,Tasman,29448738,8300,1
2022-03-27,Waikato,7839760,253751,10
2022-03-27,Wellington,13240705,485579,11
2022-03-27,West Coast,2786041,18900,4
2022-04-03,Auckland,5722790,1445510,15
2022-04-03,Bay of Plenty,29862874,225920,10
2022-04-03,Canterbury,10255596,497100,11
2022-04-03,Gisborne,8394207,37000,1
2022-04-03,Hawke's Bay,14814923,147856,9
2022-04-03,Manawatu-Whanganui,23619884,187479,9
2022-04-03,Marlborough,19296536,31000,1
2022-04-03,Nelson,6556980,86000,2
2022-04-03,Northland,10434143,92600,10
2022-04-03,Otago,12590831,193400,8
2022-04-03,Southland,46382319,60000,3
2022-04-03,Taranaki,22191029,106856,8
2022-04-03,Tasman,39155354,8300,1
2022-04-03,Waikato,9935485,243300,7
2022-04-03,Wellington,20676510,485579,11
2022-04-03,West Coast,2516609,18900,4
2022-04-10,Auckland,4294396,1445510,15
2022-04-10,Bay of Plenty,12237538,225920,10
2022-04-10,Canterbury,17349944,497100,11
2022-04-10,Gisborne,14933718,37000,1
2022-04-10,Hawke's Bay,12546092,147856,9
2022-04-10,Manawatu-Whanganui,11750975,187479,9
2022-04-10,Marlborough,15973986,36000,2
2022-04-10,Nelson,5206443,86000,2
2022-04-10,Northland,6276320,90630,10
2022-04-10,Otago,9229845,193400,8
2022-04-10,Southland,37959986,60000,3
2022-04-10,Taranaki,13806770,106856,8
2022-04-10,Tasman,929684,8300,1
2022-04-10,Waikato,2908362,246185,8
2022-04-10,Wellington,13056325,485579,11
2022-04-10,West Coast,7971872,16000,3
2022-04-17,Auckland,5201519,1403510,14
2022-04-17,Bay of Plenty,10122775,225920,10
2022-04-17,Canterbury,4518463,497100,11
2022-04-17,Gisborne,5353206,37000,1
2022-04-17,Hawke's Bay,12705462,147856,9
2022-04-17,Manawatu-Whanganui,12805487,169849,7
2022-04-17,Marlborough,24520099,36000,2
2022-04-17,Nelson,3145380,86000,2
2022-04-17,Northland,11013993,31030,10
2022-04-17,Otago,10316971,193400,8
2022-04-17,Southland,21444152,60000,3
2022-04-17,Taranaki,15939679,106856,8
2022-04-17,Tasman,20501623,8300,1
2022-04-17,Waikato,4815074,250866,9
2022-04-17,Wellington,10058997,485579,11
2022-04-17,West Coast,1439005,16000,3
2022-04-24,Auckland,5451205,1403510,14
2022-04-24,Bay of Plenty,15014000,225920,10
2022-04-24,Canterbury,10130397,497100,11
2022-04-24,Gisborne,5165760,37000,1
2022-04-24,Hawke's Bay,6894646,147856,9
2022-04-24,Manawatu-Whanganui,14596236,171479,8
2022-04-24,Marlborough,6438854,36000,2
2022-04-24,Nelson,17368984,26000,1
2022-04-24,Northland,10787403,95030,10
2022-04-24,Otago,13502688,189300,7
2022-04-24,Southland,34121873,60000,3
2022-04-24,Taranaki,25001773,106856,8
2022-04-24,Tasman,9630138,8300,1
2022-04-24,Waikato,3436851,253751,10
2022-04-24,Wellington,15106975,485579,11
2022-04-24,West Coast,2890931,18900,4
2022-05-01,Auckland,7004445,1403510,14
2022-05-01,Bay of Plenty,7709180,205820,6
2022-05-01,Canterbury,11692522,497100,11
2022-05-01,Gisborne,8078590,37000,1
